Variable,Group,N,Mean,SD,Min,Max
Avg Hourly Demand (MWh),All BAs,252,71291.2,19586.8,36647.1,116275.4
Avg Hourly Demand (MWh),ERCO,84,48634.5,8210.7,36647.1,67863.0
Avg Hourly Demand (MWh),MISO,84,73652.5,7017.5,59986.8,90555.1
Avg Hourly Demand (MWh),PJM,84,91586.5,10074.8,73266.9,116275.4
Cooling Degree Days,All BAs,252,162.4,209.0,0.0,863.5
Cooling Degree Days,ERCO,84,262.9,263.5,0.0,863.5
Cooling Degree Days,MISO,84,96.5,130.0,0.0,441.0
Cooling Degree Days,PJM,84,127.8,173.0,0.0,531.0
Heating Degree Days,All BAs,252,323.6,360.8,0.0,1377.0
Heating Degree Days,ERCO,84,164.3,205.7,0.0,686.5
Heating Degree Days,MISO,84,468.9,436.2,0.0,1377.0
Heating Degree Days,PJM,84,337.7,337.4,0.0,1074.0
Min Hourly Demand (MWh),All BAs,252,53443.2,14548.9,27449.0,82130.0
Min Hourly Demand (MWh),ERCO,84,35373.7,5393.6,27449.0,49402.0
Min Hourly Demand (MWh),MISO,84,56576.9,3705.3,48878.0,66762.0
Min Hourly Demand (MWh),PJM,84,68378.9,5581.8,56260.0,82130.0
Queue MW Active (Cumulative Stock),All BAs,252,190643.4,112395.8,200.0,397858.5
Queue MW Active (Cumulative Stock),ERCO,84,200263.8,135596.4,4002.5,397858.5
Queue MW Active (Cumulative Stock),MISO,84,167669.5,96063.9,200.0,293941.1
Queue MW Active (Cumulative Stock),PJM,84,203997.0,98893.5,2504.3,294758.0
Queue MW Filed — 100MW+ Projects,All BAs,252,4244.5,12801.6,0.0,154214.1
Queue MW Filed — 100MW+ Projects,ERCO,84,4569.3,3270.6,0.0,14974.1
Queue MW Filed — 100MW+ Projects,MISO,84,5333.7,20988.7,0.0,154214.1
Queue MW Filed — 100MW+ Projects,PJM,84,2830.5,6406.1,0.0,32485.9
Regional GDP,All BAs,252,3701145.3,1839629.9,1782738.2,6538735.7
Regional GDP,ERCO,84,2007367.7,174722.8,1782738.2,2221943.3
Regional GDP,MISO,84,2859666.6,106189.2,2671283.5,2980249.7
Regional GDP,PJM,84,6236401.4,259671.0,5807692.6,6538735.7
